"X","Nom.cité.dans.le.texte","Nom.français.cité.dans.le.texte","Nom.valide","INTITULE","ARRETE","ARTICLE","CD_NOM"
NA,"Passer montanus","Moineau friquet","Passer montanus (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",4532
NA,"Pelecanus crispus","Pélican frisé","Pelecanus crispus Bruch, 1832","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 4",2462
NA,"Pelecanus onocrotalus","Pélican blanc","Pelecanus onocrotalus Linnaeus, 1758","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 4",2460
NA,"Pernis apivorus","Bondrée apivore","Pernis apivorus (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",2832
NA,"Petrochelidon pyrrhonota/Hirundo pyrrhonota","Hirondelle à front blanc","Petrochelidon pyrrhonota (Vieillot, 1817)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 4",442197
NA,"Petronia petronia","Moineau soulcie","Petronia petronia (Linnaeus, 1766)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",4540
NA,"Phalacrocorax aristotelis","Cormoran huppé","Phalacrocorax aristotelis aristotelis (Linnaeus, 1761)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",2450
NA,"Phalacrocorax aristotelis","Cormoran huppé","Phalacrocorax aristotelis desmarestii (Payraudeau, 1826)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",2452
NA,"Phalacrocorax aristotelis","Cormoran huppé","Phalacrocorax aristotelis (Linnaeus, 1761)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",2447
NA,"Phalacrocorax auritus","Cormoran à aigrettes/Cormoran à double crête","Phalacrocorax auritus (Lesson, 1831)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 4",199323
NA,"Phalacrocorax carbo","Grand Cormoran","Phalacrocorax carbo carbo (Linnaeus, 1758)","Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)","Article 3",2442
