"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Cettia cetti";"Bouscarle de Cetti";"Cettia cetti (Temminck, 1820)";"Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)";"Article 3";"4151"
"";"Chaetura pelagica";"Martinet ramoneur";"Chaetura pelagica (Linnaeus, 1758)";"Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)";"Article 4";"199398"
"";"Charadrius alexandrinus";"Gravelot à collier interrompu/Gravelot de Kent";"Charadrius alexandrinus Linnaeus, 1758";"Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)";"Article 3";"3142"
"";"Charadrius asiaticus";"Pluvier asiatique/Gravelot asiatique";"Charadrius asiaticus Pallas, 1773";"Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)";"Article 4";"3150"
"";"Charadrius dubius";"Petit Gravelot";"Charadrius dubius Scopoli, 1786";"Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)";"Article 3";"3136"
"";"Charadrius hiaticula";"Grand Gravelot";"Charadrius hiaticula Linnaeus, 1758";"Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)";"Article 3";"3140"
"";"Charadrius leschenaultii";"Gravelot de Leschenault/Pluvier de Leschenault";"Charadrius leschenaultii Lesson, 1826";"Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)";"Article 4";"3148"
"";"Charadrius mongolus";"Gravelot mongol/Pluvier mongol";"Charadrius mongolus Pallas, 1776";"Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)";"Article 4";"3146"
"";"Charadrius morinellus/Eudromias morinellus";"Pluvier guignard";"Eudromias morinellus (Linnaeus, 1758)";"Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)";"Article 3";"3153"
"";"Charadrius pecuarius";"Gravelot pâtre";"Charadrius pecuarius Temminck, 1823";"Liste des oiseaux protégés sur l'ensemble du territoire et les modalités de leur protection";"Arrêté interministériel du 29 octobre 2009 fixant la liste des oiseaux protégés sur l’ensemble du territoire et les modalités de leur protection (JORF 5 décembre 2009, p. 21056)";"Article 4";"199365"
