"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Linaria cirrhosa (L.) Cav.";"Linaire à vrilles";"Kickxia cirrhosa (L.) Fritsch, 1897";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"104500"
"";"Linaria commutata Bernh. ex Reichenb.";"Linaire grecque";"Kickxia commutata (Bernh. ex Rchb.) Fritsch, 1897";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"104501"
"";"Linaria commutata Bernh. ex Reichenb.";"Linaire grecque";"Kickxia commutata (Bernh. ex Rchb.) Fritsch, 1897 subsp. commutata";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"136993"
"";"Linaria flava (Poiret) Desf.";"Linaire jaunâtre";"Linaria flava subsp. sardoa (Sommier) A.Terracc., 1930";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"137330"
"";"Linaria flava (Poiret) Desf.";"Linaire jaunâtre";"Linaria flava (Poir.) Desf., 1799";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"106172"
"";"Linaria reflexa (L.) Desf.";"Linaire à fruit recourbé";"Linaria reflexa (L.) Desf., 1799";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"106212"
"";"Linaria thymifolia (Wahl) DC.";"Linaire à feuilles de thym";"Linaria thymifolia (Vahl) DC., 1805";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"106229"
"";"Lindernia procumbens (Krocker) Philcox";"Lindernie couchée";"Lindernia procumbens (Krock.) Philcox, 1965";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"106258"
"";"Linnaea borealis L.";"Linnée boréale";"Linnaea borealis L., 1753 subsp. borealis";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"913025"
"";"Linnaea borealis L.";"Linnée boréale";"Linnaea borealis L., 1753";"Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)";"Article 1";"106260"
