"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Eudyptes chrysocome  (J.-R. Forster, 1781)";"Gorfou sauteur";"Eudyptes chrysocome filholi Hutton, 1879";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"836873"
"";"Eudyptes chrysocome  (J.-R. Forster, 1781)";"Gorfou sauteur";"Eudyptes chrysocome (Forster, 1781)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"441902"
"";"Eudyptes chrysolophus (Brandt, 1837)";"Gorfou maraconi";"Eudyptes chrysolophus (Brandt, 1837)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"441903"
"";"Eudyptes schlegeli (Finsch, 1876)";"Gorfou de Schlegel";"Eudyptes schlegeli Finsch, 1876";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"645587"
"";"Fregetta grallaria (Vieillot, 1817)";"Océanite à ventre blanc";"Fregetta grallaria (Vieillot, 1818)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"432682"
"";"Fregetta tropica (Gould, 1844)";"Océanite à ventre noir";"Fregetta tropica (Gould, 1844)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"441932"
"";"Fulmarus glacialoides (A. Smith, 1840)";"Fulmar antarctique";"Fulmarus glacialoides (A. Smith, 1840)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"626335"
"";"Garrodia nereis (Gould, 1841)";"Océanite à croupion gris";"Garrodia nereis (Gould, 1841)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"441945"
"";"Halobaena caerulea (Gmelin, 1789)";"Pétrel bleu";"Halobaena caerulea (Gmelin, 1789)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"441969"
"";"Larus dominicanus (Lichtenstein, 1823)";"Goéland dominicain";"Larus dominicanus judithae Jiguet, 2002";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"713017"
