ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;GROUPE_GRAND_PUBLIC;
"45";"239422";"239422";"Andrena rhenana Stoeckhert, 1930";"Stoeckhert, 1930";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"DD";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239424";"239424";"Andrena rosae Panzer, 1801";"Panzer, 1800";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"0";"0";"Andrena roseipes Alfken, 1933";"";"";"";"ES";"";"";"";"DD";"";"";"2023.1";"DD";"DD";"2014";"Liste rouge européenne des espèces menacées";
"45";"239425";"239425";"Andrena rotundata Pérez, 1895";"Pérez, 1895";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239427";"239427";"Andrena rufizona Imhoff, 1834";"Imhoff, 1834";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2013";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239430";"239430";"Andrena rugulosa Stoeckhert, 1935";"Stöckhert, 1935";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"1012380";"1012380";"Andrena russula Lepeletier, 1841";"Lepeletier de Saint-Fargeau, 1841";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239432";"239432";"Andrena savignyi Spinola, 1838";"Spinola, 1838";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239433";"239433";"Andrena saxonica Stoeckhert, 1935";"Stöckhert, 1935";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239434";"239434";"Andrena schencki Morawitz, 1866";"Morawitz, 1866";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"712919";"712919";"Andrena scotica Perkins, 1916";"Perkins, 1916";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239435";"239435";"Andrena semilaevis Pérez, 1903";"Pérez, 1903";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"DD";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239437";"239437";"Andrena sericata Imhoff, 1868";"Imhoff, 1868";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
