ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC;
"55";"649843";"649843";"Graptemys pseudogeographica (Gray, 1831)";"(Gray, 1831)";"Graptémyde pseudogéographiqu";"";"ES";"Emydidae";"";"";"NA";"";"";"2015";"LC";"";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"292";"292";"Hyla meridionalis Boettger, 1874";"Böttger, 1874";"Rainette méridionale";"";"ES";"Hylidae";"";"";"NA";"";"";"2015";"LC";"";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"77619";"77619";"Lacerta bilineata Daudin, 1802";"Daudin, 1802";"Lézard vert à deux raies";"";"ES";"Lacertidae";"";"";"NA";"";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"77352";"77352";"Lepidochelis kempii (Garman, 1880)";"(Garman, 1880)";"Tortue de Kemp";"";"ES";"Cheloniidae";"";"";"NA";"";"";"2015";"CR";"";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"459618";"459618";"Lithobates catesbeianus (Shaw, 1802)";"(Shaw, 1802)";"Grenouille taureau";"";"ES";"Ranidae";"";"";"NA";"";"";"2015";"LC";"";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"77412";"77412";"Mauremys leprosa (Schweigger, 1812)";"(Schweigger, 1812)";"Emyde lépreuse";"";"ES";"Geoemydidae";"";"";"NA";"";"";"2015";"";"VU";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"78048";"78048";"Natrix maura (Linnaeus, 1758)";"(Linnaeus, 1758)";"Couleuvre vipérine";"";"ES";"Natricidae";"";"";"NA";"";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"0";"844636";"Pelomedusa subrufa (Bonnaterre, 1789)";"(Bonnaterre, 1789)";"Péloméduse roussâtre";"";"";"";"";"";"NA";"";"";"2015";"";"";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"444443";"444443";"Pelophylax ridibundus (Pallas 1771)";"(Pallas, 1771)";"Grenouille rieuse";"";"ES";"Ranidae";"";"";"NA";"";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"0";"74";"Pleurodeles waltlii Michahelles, 1830";"Michahelles, 1830";"Pleurodèle de Waltl";"";"";"";"";"";"NA";"";"";"2015";"LC";"NT";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"77756";"77756";"Podarcis muralis (Laurenti, 1768)";"(Laurenti, 1768)";"Lézard des murailles";"";"ES";"Lacertidae";"";"";"NA";"";"";"2015";"LC";"LC";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"77428";"77428";"Testudo graeca Linnaeus, 1758";"Linnaeus, 1758";"Tortue grecque";"";"ES";"Testudinidae";"";"";"NA";"";"";"2015";"VU";"VU";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"77424";"77424";"Trachemys scripta (Schoepff, 1792)";"(Schoepff, 1792)";"Trachémyde écrite";"";"ES";"Emydidae";"";"";"NA";"";"";"2015";"LC";"";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
"55";"163";"163";"Triturus marmoratus (Latreille, 1800)";"(Latreille, 1800)";"Triton marbré";"";"ES";"Salamandridae";"";"";"NA";"";"";"2015";"VU";"VU";"";"Liste rouge régionale des Amphibiens et Reptiles du Nord - Pas-de-Calais";"LRR_Amphibiens_Reptiles_NPDC_2015";"Amphibiens et reptiles";
