CDNOM;FAMILLE;NOM_SCIENTIFIQUE;NOM_VERNACULAIRE;CATEGORIE_HAUTS-DE-FRANCE;CRITERES;CATEGORIE_FRANCE;CATEGORIE_EUROPE
54170;Lycaenidae;Plebejus argyrognomon (Bergstrasser, 1779);Azuré des Coronilles;EN;B(1+2)ab(iii);LC;LC
247056;Zygaenidae;Zygaena ephialtes (Linnaeus, 1767);Zygène de la Coronille;EN;B(1+2)ab(iii);/;/
53332;Hesperiidae;Hesperia comma (Linnaeus, 1758);Virgule;EN;B2ab(ii,iii,iv);LC;LC 
53320;Hesperiidae;Thymelicus acteon (Rottemburg, 1775);Hespérie du Chiendent;EN;B2ab(ii);LC ;NT
53312;Hesperiidae;Heteropterus morpheus (Pallas, 1771);Miroir;EN;B2ab(iii,iv);LC ;LC 
54339;Pieridae;Aporia crataegi (Linnaeus, 1758);Gazé;EN;B2ab(iii);LC;LC 
53915;Nymphalidae;Brenthis ino (Rottemburg, 1775);Nacré de la Sanguisorbe;EN;B2ab(iii);LC ;LC 
53663;Nymphalidae;Coenonympha glycerion (Borkhausen, 1788);Fadet de la Mélique;EN;B2ab(iii);LC;LC 
53865;Nymphalidae;Euphydryas aurinia (Rottemburg, 1775);Damier de la Succise;EN;B2ab(iii);LC;LC 
54075;Lycaenidae;Glaucopsyche alexis (Poda, 1761);Azuré des Cytises;EN;B2ab(iii);LC ;LC 
53969;Riodinidae;Hamearis lucina (Linnaeus, 1758);Lucine;EN;B2ab(iii);LC ;LC 
53391;Nymphalidae;Hipparchia semele (Linnaeus, 1758);Agreste;EN;B2ab(iii);LC ;LC 
247071;Zygaenidae;Jordanita globulariae (Hubner, 1793);Procris des Centaurées;EN;B2ab(iii);/;/
53979;Lycaenidae;Lycaena dispar (Haworth, 1802);Cuivré des marais;EN;B2ab(iii);LC ;LC
631131;Lycaenidae;Phengaris alcon (Denis & Schiffermuller, 1775);Azuré de la Croisette;EN;B2ab(iii);NT ;LC
54105;Lycaenidae;Plebejus argus (Linnaeus, 1758);Azuré de l'Ajonc;EN;B2ab(iii);LC ;LC
219758;Lycaenidae;Satyrium ilicis (Esper, 1779);Thécla de l'Yeuse;EN;B2ab(iii);LC ;LC
820680;Nymphalidae;Speyeria aglaja (Linnaeus, 1758);Grand Nacré;EN;B2ab(iii);LC ;LC
