"";"Nom de référence";"Nom vernaculaire";"Statut*";"Règne";"Classe";"Ordre";"Famille";"CD_REF";"CD_NOM";
"";"Botrylloides diegensis Ritter & Forsyth, 1917";"Botrylle doré, Botrylle de San Diego";"J";"Animalia (Animaux)";"Ascidiacea (Ascidies)";"Stolidobranchia";"Styelidae";"837382";"837382"
"";"Botrylloides violaceus Oka, 1927";"Botrylle violet";"J";"Animalia (Animaux)";"Ascidiacea (Ascidies)";"Stolidobranchia";"Styelidae";"647505";"647505"
"";"Branchiodrilus hortensis (Stephenson, 1910)";"";"J";"Animalia (Animaux)";"Clitellata";"Haplotaxida";"Naididae";"1001047";"1001047"
"";"Branchiomma luctuosum (Grube, 1870)";"";"J";"Animalia (Animaux)";"Polychaeta (Vers annelés marins, Polychètes)";"Sabellida";"Sabellidae";"924919";"924919"
"";"Buddleja davidii Franch., 1887";"Buddleia de David, Buddleia du père David, Arbre-à-papillon, Arbre-aux-papillons";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Lamiales (Lamiales)";"Scrophulariaceae (Scrophulariacées)";"86869";"86869"
"";"Bugula neritina (Linnaeus, 1758)";"Bugule brune";"J";"Animalia (Animaux)";"Gymnolaemata";"Cheilostomatida";"Bugulidae";"28726";"28726"
"";"Bursatella leachii Blainville, 1817";"";"J";"Animalia (Animaux)";"Gastropoda (Gastéropodes)";"Aplysiida";"Aplysiidae";"371218";"371218"
"";"Cabomba caroliniana A.Gray, 1848";"Cabomba de Caroline";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Nymphaeales (Nymphéales)";"Cabombaceae (Cabombacées)";"610664";"610664"
"";"Cacyreus marshalli Butler, 1898";"Brun du pélargonium (Le), Argus des Pélargoniums (L')";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Lepidoptera (Papillons)";"Lycaenidae (Lycènes)";"219796";"219796"
"";"Callosciurus erythraeus (Pallas, 1779)";"Écureuil à ventre rouge";"J";"Animalia (Animaux)";"Mammalia (Mammifères)";"Rodentia (Rongeurs)";"Sciuridae (Écureuils, Marmottes)";"61174";"61174"
"";"Campylopus introflexus (Hedw.) Brid., 1819";"";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Dicranales";"Leucobryaceae";"4419";"4419"
"";"Carpobrotus acinaciformis x Carpobrotus edulis";"Hybride entre  le Carpobrote à feuilles en sabre et le Carpobrote doux";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Caryophyllales (Caryophyllales)";"Aizoaceae (Aizoacées)";"610840";"610840"
"";"Caulacanthus ustulatus (Mertens ex Turner) Kütz., 1843";"Caulacanthe brûlée";"J";"Plantae (Plantes)";"Florideophyceae";"Gigartinales";"Caulacanthaceae";"72562";"72562"
"";"Caulerpa cylindracea Sonder, 1845";"";"J";"Plantae (Plantes)";"Ulvophyceae";"Bryopsidales";"Caulerpaceae";"680102";"680102"
"";"Caulerpa taxifolia (M.Vahl) C.Agardh, 1817";"Caulerpe taxifoliée, Caulerpe à feuilles d'If";"J";"Plantae (Plantes)";"Ulvophyceae";"Bryopsidales";"Caulerpaceae";"368610";"368610"
"";"Celtodoryx ciocalyptoides (Burton, 1935)";"Eponge chinoise";"J";"Animalia (Animaux)";"Demospongiae (Démosponges)";"Poecilosclerida";"Coelosphaeridae";"543362";"543362"
"";"Ceratitis capitata (Wiedemann, 1824)";"Mouche méditerranéenne des fruits, Mouche méditerranéenne, Mouche des fruits, Mouche de l'oranger";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Diptera (Mouches, Moustiques, Cousins)";"Tephritidae";"24102";"24102"
"";"Ceratochloa cathartica (Vahl) Herter, 1940";"Brome cathartique, Cératochloa cathartique, Brome faux uniola, Brome purgatif";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Poales (Poales)";"Poaceae (Poacées)";"90192";"90192"
